,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,arosa,46.78,9.68,45.0,93,75,1.12,CH,1594601186
113,cape town,-33.93,18.42,59.0,93,75,28.86,ZA,1594601143
114,wanxian,30.8,108.39,77.34,83,93,4.52,CN,1594601186
115,ende,-8.84,121.66,82.06,62,81,2.21,ID,1594601187
116,clyde river,70.47,-68.59,42.8,87,20,6.93,CA,1594601025
117,nikolskoye,59.7,30.79,51.8,81,0,1.23,RU,1594601038
118,saskylakh,71.92,114.08,63.32,58,100,17.45,RU,1594600952
119,torbay,47.67,-52.73,55.99,93,90,23.04,CA,1594601110
120,ilhabela,-23.78,-45.36,74.7,61,0,5.84,BR,1594601187
121,mataura,-46.19,168.86,44.11,84,75,4.54,NZ,1594600998
122,saint-joseph,-21.37,55.62,66.2,72,27,8.05,RE,1594601188
123,tasiilaq,65.61,-37.64,37.4,86,0,9.17,GL,1594601188
124,thompson,55.74,-97.86,71.6,60,75,6.93,CA,1594601116
125,jamestown,42.1,-79.24,70.0,73,1,6.93,US,1594600928
126,ballitoville,-29.54,31.21,51.8,81,0,9.17,ZA,1594601188
127,narsaq,60.92,-46.05,51.8,57,100,4.7,GL,1594601189
128,sevojno,43.84,19.9,50.0,100,1,4.7,RS,1594601189
129,jalu,29.03,21.55,75.52,48,0,15.3,LY,1594601189
130,tsumeb,-19.23,17.72,48.96,40,0,7.14,NA,1594601189
131,tulum,20.22,-87.47,86.0,70,5,6.93,MX,1594601099
132,margate,51.38,1.39,61.0,75,1,3.13,GB,1594601190
133,dikson,73.51,80.55,41.22,96,100,5.93,RU,1594600943
134,nevelsk,46.67,141.86,59.0,87,75,13.42,RU,1594601190
135,yeppoon,-23.13,150.73,69.8,43,40,13.87,AU,1594601105
136,bandarbeyla,9.49,50.81,82.18,64,27,28.95,SO,1594601073
137,hermanus,-34.42,19.23,55.0,85,100,10.0,ZA,1594601141
138,praya,14.92,-23.51,78.8,83,75,9.17,CV,1594601191
139,comodoro rivadavia,-45.87,-67.5,41.0,60,43,16.11,AR,1594601191
140,puerto leguizamo,-0.19,-74.78,74.73,86,100,0.85,CO,1594601191
141,kavieng,-2.57,150.8,84.18,68,98,5.08,PG,1594601191
142,lompoc,34.64,-120.46,72.0,64,0,13.87,US,1594600911
143,muncie,40.19,-85.39,78.8,61,1,7.23,US,1594601042
144,vao,-22.67,167.48,72.05,78,86,18.37,NC,1594601063
145,vardo,70.37,31.11,47.08,89,0,3.47,NO,1594601192
146,vestmannaeyjar,63.44,-20.27,50.58,92,100,6.08,IS,1594601192
147,pangnirtung,66.15,-65.71,48.29,62,6,1.45,CA,1594601193
148,karratha,-20.74,116.85,67.15,25,0,19.73,AU,1594600985
149,vuktyl,63.86,57.31,57.87,75,80,11.83,RU,1594601193
150,chicama,-7.84,-79.15,62.82,82,10,4.43,PE,1594601193
151,dubbo,-32.25,148.62,46.4,79,90,5.82,AU,1594601061
152,tuktoyaktuk,69.45,-133.04,57.2,62,75,10.29,CA,1594600947
153,cortez,37.35,-108.59,98.6,11,1,11.41,US,1594601194
154,castro,-24.79,-50.01,57.96,87,0,4.79,BR,1594601194
155,barrow,71.29,-156.79,39.2,80,90,9.17,US,1594601096
156,laurel,39.1,-76.85,81.0,94,75,4.72,US,1594601166
157,geraldton,-28.77,114.6,53.6,62,0,16.11,AU,1594600916
158,flin flon,54.77,-101.86,74.86,47,92,14.2,CA,1594600966
159,easton,40.69,-75.22,73.99,78,90,21.92,US,1594601019
160,pevek,69.7,170.31,49.57,70,55,6.15,RU,1594600951
161,baykit,61.67,96.37,59.68,85,100,2.66,RU,1594601196
162,ryotsu,38.08,138.43,73.4,73,90,4.7,JP,1594601196
163,griffith,41.53,-87.42,72.0,68,75,5.82,US,1594601196
164,qaanaaq,77.48,-69.36,45.05,65,97,2.33,GL,1594601001
165,agropoli,40.35,15.0,73.0,62,0,5.01,IT,1594601197
166,airai,-8.93,125.41,66.51,72,100,6.11,TL,1594601197
167,rawson,-43.3,-65.1,39.6,69,0,19.26,AR,1594601197
168,saint-francois,46.42,3.91,53.6,76,0,1.14,FR,1594601197
169,sao filipe,14.9,-24.5,74.86,83,100,3.89,CV,1594601149
170,la solana,38.94,-3.24,73.0,78,0,8.01,ES,1594601198
171,isangel,-19.55,169.27,78.8,65,75,11.41,VU,1594600978
172,swellendam,-34.02,20.44,62.6,48,0,19.46,ZA,1594601198
173,isla vista,34.41,-119.86,88.0,60,1,10.29,US,1594601198
174,ilulissat,69.22,-51.1,48.2,70,49,1.12,GL,1594601199
175,kodiak,57.79,-152.41,57.2,62,90,9.17,US,1594601150
176,chokurdakh,70.63,147.92,72.19,43,37,9.31,RU,1594600944
177,okha,53.57,142.95,58.06,83,99,5.3,RU,1594601177
178,victoria,22.29,114.16,89.01,70,5,5.01,HK,1594601183
179,polis,35.04,32.43,75.2,94,40,4.7,CY,1594601200
180,devli,25.75,75.38,83.14,73,100,11.48,IN,1594601200
181,marinette,45.1,-87.63,75.2,56,90,5.82,US,1594601200
182,tawau,4.25,117.89,80.6,88,20,3.67,MY,1594601200
183,camabatela,-8.19,15.38,56.3,100,35,3.18,AO,1594601045
184,deputatskiy,69.3,139.9,71.13,44,28,8.81,RU,1594601200
185,guiren,33.67,118.19,72.93,87,82,8.7,CN,1594601201
186,birigui,-21.29,-50.34,72.23,53,5,2.17,BR,1594601201
187,klaksvik,62.23,-6.59,50.0,87,100,17.22,FO,1594601201
188,rundu,-17.93,19.77,44.71,47,0,4.9,NA,1594601201
189,ocos,14.51,-92.19,84.2,83,75,4.7,GT,1594601202
190,pljevlja,43.33,19.33,50.0,100,34,4.7,ME,1594601202
191,betare oya,5.6,14.08,64.67,96,51,1.57,CM,1594601202
192,abashiri,44.02,144.27,59.0,87,75,6.93,JP,1594601202
193,hofn,64.25,-15.21,51.39,86,100,7.63,IS,1594601203
194,oistins,13.07,-59.53,82.4,78,20,14.99,BB,1594601180
195,moose factory,51.26,-80.61,57.2,71,90,8.05,CA,1594601203
196,lavrentiya,65.58,-171.0,46.13,75,4,7.11,RU,1594601075
197,ashiya,34.73,135.3,69.8,88,75,6.93,JP,1594601203
198,arroyo,41.61,-4.8,63.0,87,0,6.93,ES,1594601203
199,codrington,-38.27,141.97,54.18,80,0,5.77,AU,1594600962
200,preobrazheniye,42.9,133.91,63.43,81,63,5.28,RU,1594601204
201,abu dhabi,24.47,54.37,95.0,59,9,4.7,AE,1594601204
202,naze,28.37,129.48,86.0,84,75,8.05,JP,1594601204
203,ilo,-17.64,-71.34,58.37,77,42,2.98,PE,1594601169
204,san cristobal,7.77,-72.22,66.18,87,100,1.05,VE,1594601095
205,abu samrah,35.3,37.18,70.86,70,0,11.07,SY,1594601205
206,bennington,42.88,-73.2,78.8,54,1,5.82,US,1594601205
207,jablah,35.36,35.93,77.0,73,40,9.17,SY,1594601205
208,manta,-0.95,-80.73,72.03,90,100,12.82,EC,1594601010
209,vila,42.03,-8.16,69.8,68,0,2.24,PT,1594601164
210,lewistown,40.6,-77.57,73.4,73,75,2.42,US,1594601206
211,shahrud,36.42,54.98,68.23,57,100,5.26,IR,1594601206
212,suntar,62.14,117.63,70.57,80,84,5.12,RU,1594600951
213,ixtapa,20.7,-105.2,81.0,88,90,4.7,MX,1594601207
214,neiafu,-18.65,-173.98,73.4,73,40,11.41,TO,1594600988
215,upata,8.01,-62.4,84.0,77,100,1.99,VE,1594601207
216,gamba,-2.65,10.0,71.37,91,99,7.45,GA,1594601168
217,lagoa,39.05,-27.98,68.52,81,0,14.0,PT,1594601031
218,el campo,29.2,-96.27,91.4,55,1,9.17,US,1594600974
219,cockburn town,21.46,-71.14,83.25,79,14,16.33,TC,1594601208
220,faanui,-16.48,-151.75,79.09,75,100,13.65,PF,1594600959
221,kirensk,57.79,108.11,72.01,53,84,5.35,RU,1594601208
222,saint-augustin,51.23,-58.65,61.07,97,100,12.17,CA,1594600984
223,tocoa,15.68,-86.0,76.15,90,99,0.81,HN,1594601208
224,san ramon,37.78,-121.98,99.0,20,1,12.75,US,1594601209
225,manoel urbano,-8.84,-69.26,76.39,73,2,2.35,BR,1594601209
226,bastrop,32.76,-91.87,91.4,70,40,7.29,US,1594601174
227,ajaccio,42.0,8.92,71.6,83,100,4.7,FR,1594601209
228,mitsamiouli,-11.38,43.28,77.31,73,0,4.74,KM,1594601209
229,asau,46.43,26.4,53.01,91,98,4.68,RO,1594601210
230,tshikapa,-6.42,20.8,70.92,74,68,1.23,CD,1594601210
231,aksu,41.12,80.26,74.41,32,0,2.64,CN,1594601210
232,kahului,20.89,-156.47,89.6,43,40,25.28,US,1594600945
233,khatanga,71.97,102.5,60.6,63,46,19.08,RU,1594601211
234,pahrump,36.21,-115.98,111.0,10,0,5.99,US,1594601211
235,christiana,-27.91,25.16,41.94,55,0,12.86,ZA,1594601211
236,amapa,1.0,-52.0,71.47,88,64,2.55,BR,1594601211
237,taksimo,56.34,114.88,80.1,47,4,2.26,RU,1594601211
238,palenque,17.52,-91.97,80.29,79,1,0.4,MX,1594601212
239,lodwar,3.12,35.6,81.63,54,87,10.54,KE,1594601212
240,dingle,11.0,122.67,84.13,75,100,3.36,PH,1594601212
241,rassvet,46.83,40.75,75.38,52,97,6.35,RU,1594601212
242,sault sainte marie,46.52,-84.33,62.6,72,90,10.29,CA,1594600914
243,roseto degli abruzzi,42.67,14.02,64.4,88,52,4.7,IT,1594601213
244,bambous virieux,-20.34,57.76,73.0,83,75,12.75,MU,1594601213
245,kotka,60.47,26.95,51.8,100,90,5.82,FI,1594601213
246,wajima,37.4,136.9,69.8,73,75,2.24,JP,1594601183
247,zalantun,48.0,122.72,83.05,39,87,2.01,CN,1594601213
248,carnarvon,-24.87,113.63,59.0,93,0,4.7,AU,1594601168
249,stony plain,53.53,-114.0,66.2,48,40,8.05,CA,1594601193
250,aden,12.78,45.04,85.62,83,49,5.68,YE,1594601214
251,bengkulu,-3.8,102.27,76.26,86,94,2.82,ID,1594600942
252,zhangjiakou,40.81,114.88,65.35,82,100,4.72,CN,1594601096
253,iqaluit,63.75,-68.51,55.4,71,40,10.29,CA,1594601214
254,shieli,44.17,66.75,77.41,20,0,14.67,KZ,1594601214
255,san matias,-16.37,-58.4,78.22,52,100,1.7,BO,1594601215
256,joshimath,30.57,79.57,66.65,49,35,3.04,IN,1594601215
257,carauari,-4.88,-66.9,74.59,92,100,1.74,BR,1594601215
258,castelo branco,39.82,-7.49,80.01,42,0,1.99,PT,1594601215
259,mandalay,21.97,96.08,82.4,69,75,9.17,MM,1594600982
260,samarai,-10.62,150.67,79.25,87,47,18.59,PG,1594601216
261,berlevag,70.86,29.09,47.89,86,0,3.24,NO,1594601216
262,ahipara,-35.17,173.17,60.37,81,59,11.27,NZ,1594601160
263,dong hoi,17.48,106.6,88.41,60,56,6.22,VN,1594601216
264,tommot,58.96,126.29,89.56,45,24,0.65,RU,1594600956
265,ucluelet,48.93,-125.55,64.0,67,20,17.22,CA,1594601217
266,batagay-alyta,67.8,130.41,76.96,46,40,5.17,RU,1594601217
267,itarema,-2.92,-39.92,77.81,79,16,14.63,BR,1594601217
268,bay roberts,47.6,-53.26,60.01,1,100,14.34,CA,1594601217
269,salihli,38.48,28.15,69.42,61,0,2.37,TR,1594601217
270,tilichiki,60.47,166.1,50.09,95,100,6.93,RU,1594601218
271,olinda,-8.01,-34.86,78.8,69,40,6.93,BR,1594601218
272,upernavik,72.79,-56.15,41.68,88,93,9.46,GL,1594601218
273,iquique,-20.22,-70.14,60.8,67,90,5.82,CL,1594601117
274,vila franca do campo,37.72,-25.43,68.0,72,40,5.82,PT,1594601219
275,kavaratti,10.57,72.64,82.74,74,100,9.8,IN,1594601219
276,vikhorevka,56.12,101.16,66.2,55,16,4.47,RU,1594601219
277,srandakan,-7.94,110.25,77.92,75,81,2.1,ID,1594601219
278,talcahuano,-36.72,-73.12,53.6,100,90,4.7,CL,1594600964
279,salug,8.11,122.78,83.66,69,98,1.25,PH,1594601220
280,blythe,33.61,-114.6,118.4,11,75,5.82,US,1594601088
281,cascais,38.7,-9.42,73.99,53,0,1.99,PT,1594601220
282,ust-nera,64.57,143.2,73.74,48,100,7.4,RU,1594601220
283,sechura,-5.56,-80.82,65.64,77,0,15.75,PE,1594601220
284,diffa,13.32,12.61,81.0,59,8,8.97,NE,1594601221
285,muros,42.78,-9.06,68.0,64,0,13.0,ES,1594601221
286,simpang,-1.27,104.08,73.98,98,100,1.1,ID,1594601221
287,talara,-4.58,-81.27,63.05,88,5,15.75,PE,1594601221
288,palu,-0.89,119.87,80.89,76,77,0.54,ID,1594601221
289,cayenne,4.93,-52.33,77.0,100,26,8.34,GF,1594601222
290,nyahururu,0.04,36.37,51.22,90,43,4.81,KE,1594601222
291,merauke,-8.47,140.33,79.77,78,96,16.17,ID,1594601184
292,srednekolymsk,67.45,153.68,72.16,43,6,7.99,RU,1594601222
293,sola,-13.88,167.55,80.6,78,90,23.04,VU,1594601222
294,kundiawa,-6.02,144.97,77.4,43,100,3.15,PG,1594601223
295,nola,40.92,14.53,77.0,44,0,9.17,IT,1594601223
296,bira,49.0,132.47,80.26,65,54,2.98,RU,1594601223
297,kaitong,44.81,123.15,82.44,46,100,7.56,CN,1594601223
298,coquimbo,-29.95,-71.34,55.4,82,67,3.36,CL,1594600964
299,qaqortoq,60.72,-46.03,51.8,57,100,4.7,GL,1594601223
300,sur,22.57,59.53,84.99,68,71,7.11,OM,1594601224
301,nhamunda,-2.19,-56.71,75.07,92,15,2.35,BR,1594601224
302,clyde,41.3,-82.98,73.0,82,100,1.01,US,1594601224
303,te anau,-45.42,167.72,42.24,75,3,0.11,NZ,1594601224
304,gombe,10.29,11.17,74.1,88,100,3.87,NG,1594601224
305,noyabrsk,63.2,75.45,56.5,86,100,11.59,RU,1594601225
306,swan hill,-35.34,143.55,55.29,72,0,13.44,AU,1594601095
307,biryusinsk,55.96,97.82,65.68,65,18,5.79,RU,1594601225
308,uyemskiy,64.47,40.85,50.0,100,90,1.9,RU,1594601225
309,doume,4.23,13.45,66.87,97,19,2.48,CM,1594601225
310,mawlaik,23.63,94.42,76.39,94,100,2.53,MM,1594601226
311,katsuura,35.13,140.3,73.0,76,100,1.01,JP,1594601028
312,voh,-20.97,164.7,76.44,68,99,4.16,NC,1594601226
313,tarauaca,-8.16,-70.77,76.84,69,68,1.48,BR,1594601226
314,languyan,5.26,120.08,83.8,70,100,3.8,PH,1594601226
315,sistranda,63.73,8.83,50.0,87,75,12.75,NO,1594601128
316,caraballeda,10.61,-66.85,78.15,79,13,8.41,VE,1594601117
317,alofi,-19.06,-169.92,73.4,94,32,21.92,NU,1594600951
318,utiel,39.57,-1.2,64.0,94,1,3.67,ES,1594601227
319,vanimo,-2.67,141.3,83.41,72,91,1.9,PG,1594601227
320,matara,5.95,80.54,79.14,87,100,8.66,LK,1594600999
321,dovers,12.88,-61.18,82.06,82,0,18.52,VC,1594601228
322,san carlos de bariloche,-41.15,-71.31,32.0,92,70,9.17,AR,1594601228
323,santander jimenez,24.22,-98.47,87.4,54,0,16.37,MX,1594601228
324,lianran,24.92,102.48,64.0,100,90,2.24,CN,1594601228
325,pine bluff,34.23,-92.0,87.8,62,20,4.7,US,1594601229
326,omboue,-1.57,9.26,72.68,88,100,7.99,GA,1594600998
327,yar-sale,66.83,70.83,51.37,96,100,13.04,RU,1594601059
328,dwarahat,29.78,79.43,68.88,82,2,1.74,IN,1594601229
329,gushikawa,26.35,127.87,87.8,70,1,8.05,JP,1594601229
330,kotido,2.98,34.13,65.44,80,85,4.0,UG,1594601230
331,razdolnoye,43.55,131.92,68.0,77,75,6.71,RU,1594601230
332,gainesville,29.65,-82.32,88.0,62,1,6.71,US,1594600947
333,buala,-8.14,159.59,82.4,79,100,13.85,SB,1594601230
334,itoman,26.12,127.67,87.8,74,75,10.29,JP,1594601230
335,praia da vitoria,38.73,-27.07,68.0,88,20,9.89,PT,1594600989
336,coahuayana,18.73,-103.68,69.8,88,90,17.22,MX,1594601231
337,devonport,-41.17,146.35,52.0,85,0,1.01,AU,1594601231
338,lokosovo,61.13,74.82,61.16,70,100,11.97,RU,1594601231
339,calvinia,-31.47,19.78,40.96,76,12,14.65,ZA,1594601231
340,puerto escondido,15.85,-97.07,84.2,66,90,5.82,MX,1594600980
341,genhe,50.78,121.52,85.24,37,69,1.95,CN,1594601232
342,somerset,40.57,-74.55,84.0,58,75,9.13,US,1594601232
343,kailua,21.4,-157.74,84.2,54,90,11.41,US,1594601232
344,washougal,45.58,-122.35,77.0,44,20,10.29,US,1594601232
345,nelson bay,-32.72,152.15,55.4,76,20,10.29,AU,1594601232
346,gornopravdinsk,60.05,69.9,65.48,66,99,9.04,RU,1594601227
347,guerrero,17.67,-100.0,71.4,80,85,4.05,MX,1594601107
348,henties bay,-22.12,14.28,54.0,94,0,3.0,NA,1594600957
349,cairns,-16.92,145.77,77.0,57,31,11.41,AU,1594601039
350,norman wells,65.28,-126.83,66.2,63,75,5.82,CA,1594601233
351,pemangkat,1.17,108.97,79.61,80,58,3.94,ID,1594601234
352,grindavik,63.84,-22.43,48.2,93,75,4.7,IS,1594601234
353,nanortalik,60.14,-45.24,45.97,88,100,4.23,GL,1594600945
354,coihaique,-45.58,-72.07,30.2,86,20,2.24,CL,1594601055
355,mackay,-21.15,149.2,69.8,37,75,9.17,AU,1594601032
356,promyshlennovskiy,55.48,86.2,64.4,100,0,6.71,RU,1594601234
357,cap malheureux,-19.98,57.61,73.0,74,19,8.01,MU,1594601235
358,los llanos de aridane,28.66,-17.92,71.6,73,75,10.29,ES,1594601040
359,udachnyy,66.42,112.4,64.4,55,0,6.71,RU,1594601235
360,jizan,17.33,42.67,88.72,40,20,5.06,SA,1594601235
361,manzanillo,20.34,-77.12,79.83,81,100,5.77,CU,1594601235
362,santa cruz del sur,20.71,-78.0,82.27,68,100,5.73,CU,1594601236
363,maniitsoq,65.42,-52.9,47.77,72,100,13.98,GL,1594601236
364,lastoursville,-0.81,12.73,71.29,94,67,2.42,GA,1594601236
365,kamenka,51.32,42.77,68.0,78,72,5.08,RU,1594601236
366,sao jose da coroa grande,-8.9,-35.15,74.75,79,0,8.55,BR,1594601236
367,bath,51.38,-2.36,59.0,82,26,4.09,GB,1594600965
368,puerto madryn,-42.77,-65.04,39.96,67,0,23.26,AR,1594601056
369,opuwo,-18.06,13.84,49.69,53,0,2.98,NA,1594601237
370,ozinki,51.18,49.68,74.19,54,50,8.55,RU,1594601237
371,alice springs,-23.7,133.88,52.0,53,0,6.93,AU,1594600976
372,raton,36.9,-104.44,75.2,60,75,10.29,US,1594601238
373,luanda,-8.84,13.23,68.0,88,98,3.36,AO,1594601238
374,paranaiba,-19.68,-51.19,75.33,49,63,2.57,BR,1594601238
375,katangli,51.71,143.23,56.77,83,83,6.38,RU,1594601238
376,eyl,7.98,49.82,81.61,65,35,26.8,SO,1594601238
377,karymskoye,51.62,114.35,69.93,77,82,2.82,RU,1594601238
378,nova olimpia,-14.8,-57.29,77.95,45,31,3.71,BR,1594601239
379,sibsagar,26.98,94.63,77.0,100,75,5.82,IN,1594601239
380,hamilton,39.18,-84.53,75.99,69,1,5.82,US,1594601071
381,thunder bay,48.4,-89.32,73.4,56,75,5.82,CA,1594601240
382,portland,45.52,-122.68,77.0,44,20,10.29,US,1594600552
383,ust-maya,60.42,134.53,80.38,49,92,4.7,RU,1594601240
384,la ronge,55.1,-105.28,66.2,88,90,4.7,CA,1594600982
385,tattayyangarpettai,11.13,78.45,80.6,74,40,6.93,IN,1594601240
386,montepuez,-13.13,39.0,62.51,96,51,7.11,MZ,1594601237
